英雄,生命值,法力值,攻击力,防御力,敏捷,类型
不知火舞,610,0,368,480,888,魔法
沈梦溪,590,0,430,500,600,魔法
马可波罗,440,0,710,520,700,物理
花木兰,360,0,710,560,650,物理
阿轲,600,0,980,560,950,物理
芈月,620,0,340,600,850,魔法
曹操,780,0,700,620,700,物理
关羽,730,0,600,650,750,物理
吕布,765,0,600,660,400,物理
宫本武藏,630,0,550,660,600,物理
橘右京,720,0,630,670,800,物理
亚瑟,810,0,620,700,400,物理
老夫子,745,0,540,720,500,物理
张飞,830,0,400,920,200,物理
程咬金,866,0,460,920,300,物理
嫦娥,250,100,442,460,300,魔法
太乙真人,699,200,300,690,600,魔法
白起,900,200,330,780,500,物理
达摩,735,220,650,740,600,物理
杨戬,775,220,510,770,300,物理
刘禅,858,220,375,800,300,物理
项羽,813,220,438,860,400,物理
庄周,820,220,385,870,400,魔法
韩信,470,300,770,380,999,物理
廉颇,950,310,310,980,100,物理
墨子,750,320,525,820,500,魔法
雅典娜,640,330,520,750,600,物理
成吉思汗,550,340,788,420,600,物理
公孙离,480,340,710,480,999,物理
刘备,710,340,730,640,600,物理
夏侯惇,768,350,500,690,400,物理
鲁班七号,600,400,850,380,200,物理
孙尚香,610,400,920,530,700,物理
孙悟空,666,420,635,650,900,物理
赵云,688,420,760,680,800,物理
钟无艳,720,420,475,720,500,物理
虞姬,480,440,880,420,600,物理
狄仁杰,510,440,750,490,500,物理
李元芳,520,440,800,500,700,物理
典韦,790,450,610,700,400,物理
黄忠,580,480,865,300,600,物理
百里守约,460,480,900,420,800,物理
后羿,600,480,800,480,200,物理
铠,680,480,525,650,500,物理
李白,400,500,550,580,900,物理
娜可露露,630,500,765,580,900,物理
鬼谷子,730,500,385,680,700,魔法
哪吒,760,500,490,710,900,物理
兰陵王,640,530,775,520,600,物理
露娜,670,550,570,620,999,魔法
蔡文姬,590,580,360,560,250,魔法
杨玉环,500,600,385,580,500,魔法
大乔,380,630,435,500,900,魔法
东皇太一,800,630,310,600,500,魔法
牛魔,845,630,200,680,400,物理
孙膑,695,630,525,730,700,魔法
刘邦,815,650,410,920,200,物理
嬴政,400,680,447,150,500,魔法
干将莫邪,440,680,360,380,700,魔法
弈星,550,680,430,560,200,魔法
王昭君,390,700,375,180,200,魔法
安琪拉,600,700,368,220,200,魔法
貂蝉,460,700,320,440,900,魔法
周瑜,430,740,390,320,300,魔法
小乔,590,780,100,200,500,魔法
张良,550,780,368,320,200,魔法
诸葛亮,470,780,320,440,999,魔法
高渐离,620,780,350,520,600,魔法
米莱狄,510,780,420,520,200,魔法
伽罗,580,780,788,530,300,物理
武则天,320,780,385,530,400,魔法
上官婉儿,655,780,320,600,900,魔法
钟馗,650,780,250,660,100,魔法
甄姬,440,800,375,440,200,魔法
姜子牙,380,800,463,520,200,魔法
妲己,570,850,368,400,300,魔法
扁鹊,682,850,447,620,200,魔法
女娲,470,950,375,350,900,魔法